Monthly Fire Count: Area 1 (units: Terra and Aqua summed fire count)
area, year, jan, feb, mar, apr, may, jun, jul, aug, sep, oct, nov, dec
CO, 2003, 13, 12, 92, 66, 44, 13, 255, 29, 92, 89, 12, 7
CO, 2004, 10, 7, 180, 75, 87, 73, 65, 32, 84, 29, 9, 26
CO, 2005, 11, 43, 107, 95, 122, 30, 172, 30, 54, 41, 43, 20
CO, 2006, 45, 54, 75, 153, 46, 110, 47, 5, 24, 9, 48, 4
CO, 2007, 6, 4, 58, 89, 59, 60, 30, 26, 75, 121, 100, 17
CO, 2008, 8, 16, 100, 165, 104, 141, 61, 245, 138, 125, 40, 10
CO, 2009, 36, 56, 82, 45, 86, 28, 69, 148, 42, 70, 49, 11
CO, 2010, 13, 10, 71, 120, 81, 62, 66, 23, 153, 78, 63, 24
CO, 2011, 14, 28, 91, 103, 118, 301, 24, 122, 59, 52, 32, 18
CO, 2012, 14, 67, 195, 65, 101, 1280, 63, 44, 13, 130, 78, 11
CO, 2013, 18, 13, 38, 24, 11, 971, 93, 58, 5, 11, 42, 11
CO, 2014, 7, 9, 61, 28, 31, 17, 28, 23, 27, 70, 19, 3
CO, 2015, 3, 36, 124, 72, 21, 33, 15, 19, 54, 91, 58, 4
CO, 2016, 21, 9, 87, 57, 42, 207, 517, 94, 166, 178, 28, 6
CO, 2017, 3, 34, 122, 69, 36, 119, 144, 29, 186, 104, 76, 65
CO, 2018, 20, 36, 183, 121, 21, 858, 845, 681, 484, 53, 60, 8
CO, 2019, 3, 22, 24, 26, 47, 33, 44, 44, 157, 178, 25, 1
CO, 2020, 34, 14, 47, 55, 92, 100, 75, 2140, 1185, 2664, 0
